date,description,type,from,to,amount,currency,comment,tx_hash,
2020-11-06T19:38:20Z,rebalance,none,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,0,yDAI,Unwrap yUSD,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,0,yTUSD,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,0,yUSDT,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,31678.565161,yUSDC,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,0x0000000000000000000000000000000000000000,31678.565161,yUSDC,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,0x0000000000000000000000000000000000000000,34830.248145316100000000,yDAI+yUSDC+yUSDT+yTUSD,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,ychad.eth,36928.478536,USDC,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,0xd6aD7a6750A7593E092a9B218d66C0A814a3436e,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,36928.478536,USDC,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-06T19:38:20Z,rebalance,none,ychad.eth,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3,34831.61788740520000000,yDAI+yUSDC+yUSDT+yTUSD,,0x1322e850f7a3187c56c51dc0b6f1e0ef3452f5884122bd35ebe1cfaacd1d49a9,
2020-11-07T01:50:47Z,airdrop,incoming,0xaeE32bD4562EC974b9B904eEeC2001d69Dc3fBb4,ychad.eth,1.2,ETH,Top-up for Rari NFT competition,0x7ccffe898d9bfa2b2a2d254ca08e0bf7ef1fd1e3ed639bbcf5b5aeb85b76c8dd,
2020-11-07T02:43:14Z,payment,outgoing,ychad.eth,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,ETH,Pay Mixbytes audit,0xf3b8c7c76789686e2bbbfb0c897de89fa39a38d564cc187457b980d4f2dd30a0,
2020-11-07T02:43:14Z,payment,outgoing,ychad.eth,0xc8d968165cd47b90Cf390626017d6D69CA242a0F,12000,USDC,,0xf3b8c7c76789686e2bbbfb0c897de89fa39a38d564cc187457b980d4f2dd30a0,
2020-11-07T02:45:02Z,payment,outgoing,ychad.eth,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,ETH,Pay Mixbytes audit,0xfd488ce8104bae6dbf99481e38233af6ae8b7236856ce4fd86379b52f5ee1374,
2020-11-07T02:45:02Z,payment,outgoing,ychad.eth,0xc8d968165cd47b90Cf390626017d6D69CA242a0F,22400,USDC,,0xfd488ce8104bae6dbf99481e38233af6ae8b7236856ce4fd86379b52f5ee1374,
2020-11-07T12:40:04Z,airdrop,incoming,salnikov.eth,ychad.eth,500,USDC,Top-up for Rari NFT competition,0x40d1ad0688e6b9e7cd54ef5de95c4122620fc6087b7b51d41bb50aba0c3aa0b8,
2020-11-08T19:31:54Z,grant,outgoing,ychad.eth,heresy.eth,500,USDC,Donate to ygift splash designer,0x0cee9939b66ea42c9838745f44be12238cfdcc4c103e17e307f5b854e4af15cc,
2020-11-08T19:34:43Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x19D164fEC143Ac78097283413D3AC582bc71E79A,2000,yyDAI+yUSDC+yUSDT+yTUSD,Send 1st Prize,0xb16d6af4cad6fccffe3c806a23387c8085c8f1245a5038b8dda4d628ebf6ca8f,
2020-11-08T19:34:43Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x62661B101ca48734668669a9F1Cb83c4889049F3,2000,yyDAI+yUSDC+yUSDT+yTUSD,Send 2nd Prize,0xb16d6af4cad6fccffe3c806a23387c8085c8f1245a5038b8dda4d628ebf6ca8f,
2020-11-08T19:34:43Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0xb16d6af4cad6fccffe3c806a23387c8085c8f1245a5038b8dda4d628ebf6ca8f,
2020-11-08T19:34:43Z,grant,outgoing,ychad.eth,0xD152f549545093347A162Dce210e7293f1452150,4000,yyDAI+yUSDC+yUSDT+yTUSD,Send Rari NFT prizes,0xb16d6af4cad6fccffe3c806a23387c8085c8f1245a5038b8dda4d628ebf6ca8f,
2020-11-11T18:34:21Z,grant,outgoing,ychad.eth,0x644f0A084B9bdd193ce1336EA0C12B6C1a726dab,1000,USDC,Donate to logo designer,0x67d288b85f9c2a4a2418b97b5d0e510ff27dce87d841b91e4d43b56e15309cb0,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x421272DF2574422Eb453De3550D6f856f1E103E7,2000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to shadeunderthetree,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x4B795ba8BCc0f125813D13Da5B65DCaBA4ae4Bd1,2000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to kx9x,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x60330861Ddc19Ae7f6B274Aa6fC32c7b6bA9845B,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to nomad,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x6EceB4B153D2809772Ec9293234F41C00312f59b,3000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to dudesahn,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
2020-11-11T19:27:24Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0xA75d56979E5eb9bC24D6FAEb4B5B2C35589168A5,2000,yyDAI+yUSDC+yUSDT+yTUSD,Donate to jigsaw,0x1e411c81fc83abfe260f58072c74bfa91e38e27e0066da07ea06f75d9c8f4a00,
